iter	Logloss
0	0.6564601084
1	0.6310966109
2	0.6100843629
3	0.5886260638
4	0.5705534106
5	0.5575184218
6	0.5408259853
7	0.5318304603
8	0.5254334265
9	0.5148668565
10	0.5088517118
11	0.5030341991
12	0.4956510946
13	0.4915656447
14	0.4870157704
15	0.4811545624
16	0.4778949422
17	0.4734861033
18	0.4711499452
19	0.4681469152
20	0.4665884813
21	0.4661240847
22	0.4633936161
23	0.4610366165
24	0.4599713455
25	0.457510548
26	0.4564107818
27	0.4558509335
28	0.4522428715
29	0.451080054
30	0.4471697613
31	0.4460796616
32	0.44537619
33	0.4425292079
34	0.4410436444
35	0.4394191818
36	0.4372764385
37	0.4362242972
38	0.4359086336
39	0.4350782411
40	0.43310892
41	0.4311247368
42	0.4303786804
43	0.4297275241
44	0.4278509258
45	0.4274202657
46	0.4266482958
47	0.4258914691
48	0.424883122
49	0.424559447
50	0.4234031971
51	0.421500711
52	0.4212344198
53	0.4196491395
54	0.4190175497
55	0.4185307798
56	0.4183343111
57	0.4179380043
58	0.4174773401
59	0.4169518476
60	0.4166721798
61	0.4162573992
62	0.4154223413
63	0.4152219944
64	0.4148701488
65	0.4142896096
66	0.4134463474
67	0.412548168
68	0.4119412028
69	0.4112238924
70	0.4091602723
71	0.4088247821
72	0.408499223
73	0.4075191242
74	0.4065093972
75	0.4059055193
76	0.4050718935
77	0.4049313009
78	0.4042333775
79	0.4028472311
80	0.4019648523
81	0.4013833454
82	0.4009394689
83	0.400817237
84	0.4004259875
85	0.3991785481
86	0.398313204
87	0.3981292428
88	0.3974738773
89	0.3966374212
90	0.3962940737
91	0.3950886496
92	0.3940220527
93	0.3938198704
94	0.3923487463
95	0.3915977571
96	0.3903908791
97	0.3883809898
98	0.3876107012
99	0.3863151738
100	0.3853014921
101	0.3851224501
102	0.3844712711
103	0.3840493462
104	0.3833746927
105	0.3828523279
106	0.382358601
107	0.3815211389
108	0.3814292149
109	0.3799718641
110	0.3791851532
111	0.3774287522
112	0.3772904487
113	0.3767994464
114	0.3760001441
115	0.3754409305
116	0.3748129177
117	0.3745353846
118	0.3731971504
119	0.3721916346
120	0.3718578065
121	0.3714360175
122	0.3701012563
123	0.3688947459
124	0.3685016891
125	0.367801772
126	0.3667868874
127	0.3657226788
128	0.3647517836
129	0.3639517146
130	0.3633412175
131	0.3621092997
132	0.3612030195
133	0.3607634497
134	0.3591165963
135	0.3577094385
136	0.3567273675
137	0.3565035636
138	0.3557199584
139	0.3548669009
140	0.3543427043
141	0.353542793
142	0.3523859586
143	0.351703831
144	0.3515269657
145	0.3505220054
146	0.3499500957
147	0.349145873
148	0.3481525481
149	0.347324701
150	0.3466448905
151	0.3456451249
152	0.344711364
153	0.3440786744
154	0.3434391323
155	0.3434036227
156	0.3433213749
157	0.3426144429
158	0.341630163
159	0.3413083803
160	0.3404925671
161	0.3398366508
162	0.3393918272
163	0.3387219265
164	0.3381846118
165	0.3374591496
166	0.337181814
167	0.3365498384
168	0.3360303937
169	0.334985664
170	0.3347702264
171	0.3345101507
172	0.3343432294
173	0.3339217027
174	0.333387796
175	0.3327002084
176	0.332255967
177	0.3314001008
178	0.3304417715
179	0.329319176
180	0.3289819294
181	0.3289532749
182	0.3287927954
183	0.3285249232
184	0.3277549386
185	0.3274191335
186	0.3267010628
187	0.3261077657
188	0.3254075754
189	0.3249671135
190	0.3241553066
191	0.3237769407
192	0.3230969831
193	0.3224048868
194	0.3219424788
195	0.3210109325
196	0.3207067264
197	0.3201110944
198	0.3197794376
199	0.3196719193
200	0.3192182444
201	0.3188445676
202	0.3181459767
203	0.3176691593
204	0.3171776289
205	0.3166857576
206	0.3166654931
207	0.31657459
208	0.3159952604
209	0.31559779
210	0.3155797851
211	0.3150106046
212	0.3146675075
